2025-10-19 08:10:31.254 | INFO     | __main__:<module>:199 - DyFuzz test nltk
2025-10-19 08:10:31.254 | INFO     | __main__:<module>:202 - nltk has 23 apis
2025-10-19 08:10:31.254 | INFO     | __main__:<module>:210 - DyFuzz nltk sem.boolean_ops 0
2025-10-19 08:10:31.254 | DEBUG    | __main__:<module>:212 - nltk.sem.boolean_ops has 0 params, run once
2025-10-19 08:10:32.735 | INFO     | __main__:fuzzapi:250 - Coverage increased 11179, now: 11179
2025-10-19 08:10:32.924 | INFO     | __main__:<module>:219 - Fuzz nltk.sem.boolean_ops 0 done
2025-10-19 08:10:32.924 | INFO     | __main__:<module>:220 - Coverage now: 11179
2025-10-19 08:10:32.925 | INFO     | __main__:<module>:210 - DyFuzz nltk tokenize.word_tokenize 3
2025-10-19 08:10:32.925 | DEBUG    | __main__:<module>:217 - nltk.tokenize.word_tokenize has 3 params, run 100 times
2025-10-19 08:10:32.926 | INFO     | __main__:run_limit_n:136 - Started 1th subprocess with PID 59886 (PGID 59886) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:33.045 | INFO     | __main__:run_limit_n:136 - Started 2th subprocess with PID 59887 (PGID 59887) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:38.587 | INFO     | __main__:run_limit_n:136 - Started 3th subprocess with PID 59912 (PGID 59912) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:40.229 | INFO     | __main__:run_limit_n:136 - Started 4th subprocess with PID 60039 (PGID 60039) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:41.930 | INFO     | __main__:run_limit_n:136 - Started 5th subprocess with PID 60166 (PGID 60166) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:43.529 | INFO     | __main__:run_limit_n:136 - Started 6th subprocess with PID 60297 (PGID 60297) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:45.123 | INFO     | __main__:run_limit_n:136 - Started 7th subprocess with PID 60424 (PGID 60424) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:47.003 | INFO     | __main__:run_limit_n:136 - Started 8th subprocess with PID 60551 (PGID 60551) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:48.637 | INFO     | __main__:run_limit_n:136 - Started 9th subprocess with PID 60682 (PGID 60682) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:48.759 | INFO     | __main__:run_limit_n:136 - Started 10th subprocess with PID 60683 (PGID 60683) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:50.343 | INFO     | __main__:run_limit_n:136 - Started 11th subprocess with PID 60810 (PGID 60810) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:51.955 | INFO     | __main__:run_limit_n:136 - Started 12th subprocess with PID 60937 (PGID 60937) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:53.638 | INFO     | __main__:run_limit_n:136 - Started 13th subprocess with PID 61068 (PGID 61068) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:55.232 | INFO     | __main__:run_limit_n:136 - Started 14th subprocess with PID 61195 (PGID 61195) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:56.824 | INFO     | __main__:run_limit_n:136 - Started 15th subprocess with PID 61323 (PGID 61323) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:10:58.456 | INFO     | __main__:run_limit_n:136 - Started 16th subprocess with PID 61454 (PGID 61454) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:11:00.132 | INFO     | __main__:run_limit_n:136 - Started 17th subprocess with PID 61581 (PGID 61581) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:11:03.038 | INFO     | __main__:run_limit_n:136 - Started 18th subprocess with PID 61712 (PGID 61712) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:11:04.698 | INFO     | __main__:run_limit_n:136 - Started 19th subprocess with PID 61839 (PGID 61839) for nltk.tokenize.word_tokenize with 3 params
2025-10-19 08:11:06.337 | INFO     | __main__:run_limit_n:136 - Started 20th subprocess with PID 61981 (PGID 61981) for nltk.tokenize.word_tokenize with 3 params
